date UTC since epoch [s],date from Keithley,Voltage AFE U[V],Voltage AFE U[bit],Voltage Keithley [V],master measured voltage U[bit],slave measured voltage U[bit],master measured current U[bit],slave measured current U[bit]
1651284069.4293778,30-Apr-202204:01:06.00,55.5,2086,-55.5679,3109,3118,3058,0
1651284095.4949243,30-Apr-202204:01:32.00,55.5,2086,-55.5698,3109,3118,1425,0
1651284121.4218757,30-Apr-202204:01:58.00,55.5,2086,-55.569,3109,3118,3202,0
1651284147.397247,30-Apr-202204:02:24.00,55.5,2086,-55.5692,3109,3118,2925,0
1651284173.3486032,30-Apr-202204:02:50.00,55.5,2086,-55.5702,3109,3118,3183,0
1651284199.419002,30-Apr-202204:03:16.00,55.5,2086,-55.5694,3109,3118,3139,0
1651284225.380463,30-Apr-202204:03:42.00,55.5,2086,-55.5701,3109,3118,2638,0
1651284251.341568,30-Apr-202204:04:08.00,55.5,2086,-55.5696,3109,3118,1990,0
1651284277.437104,30-Apr-202204:04:34.00,55.5,2086,-55.5689,3109,3118,2661,0
1651284303.3588006,30-Apr-202204:05:00.00,55.5,2086,-55.5686,3109,3118,2350,0
1651284329.3237445,30-Apr-202204:05:26.00,55.5,2086,-55.5674,3109,3118,1459,0
1651284355.4256637,30-Apr-202204:05:52.00,55.5,2086,-55.5683,3108,3118,1137,0
1651284381.3649516,30-Apr-202204:06:18.00,55.5,2086,-55.5686,3109,3117,1860,0
1651284407.323023,30-Apr-202204:06:44.00,55.5,2086,-55.5688,3109,3118,2726,0
1651284433.3934567,30-Apr-202204:07:10.00,55.5,2086,-55.5687,3109,3118,2703,0
1651284459.3549893,30-Apr-202204:07:36.00,55.5,2086,-55.5687,3108,3118,2289,0
1651284485.3184419,30-Apr-202204:08:02.00,55.5,2086,-55.5682,3108,3117,1072,0
1651284511.4141233,30-Apr-202204:08:28.00,55.5,2086,-55.5686,3109,3118,2045,0
1651284537.3442743,30-Apr-202204:08:54.00,55.5,2086,-55.5679,3109,3118,3245,0
1651284563.3015802,30-Apr-202204:09:20.00,55.5,2086,-55.5678,3109,3118,2516,0
1651284589.4227822,30-Apr-202204:09:46.00,55.5,2086,-55.5677,3109,3118,2304,0
1651284615.3401725,30-Apr-202204:10:12.00,55.5,2086,-55.5676,3109,3118,2593,0
1651284641.30488,30-Apr-202204:10:38.00,55.5,2086,-55.5677,3109,3118,1705,0
1651284667.3921492,30-Apr-202204:11:04.00,55.5,2086,-55.5681,3109,3118,1339,0
1651284693.339336,30-Apr-202204:11:30.00,55.5,2086,-55.5669,3108,3118,2905,0
1651284719.303099,30-Apr-202204:11:56.00,55.5,2086,-55.5665,3109,3118,1818,0
1651284745.3993247,30-Apr-202204:12:22.00,55.5,2086,-55.5682,3109,3118,2076,0
1651284771.321044,30-Apr-202204:12:48.00,55.5,2086,-55.5681,3109,3117,2429,0
1651284797.284414,30-Apr-202204:13:14.00,55.5,2086,-55.5676,3109,3118,2613,0
1651284823.3979657,30-Apr-202204:13:40.00,55.5,2086,-55.5671,3109,3118,2160,0
1651284849.3322601,30-Apr-202204:14:06.00,55.5,2086,-55.568,3109,3118,2491,0
1651284875.2835124,30-Apr-202204:14:32.00,55.5,2086,-55.5676,3109,3118,3009,0
1651284901.3776155,30-Apr-202204:14:58.00,55.5,2086,-55.5685,3109,3118,1439,0
1651284927.3103433,30-Apr-202204:15:24.00,55.5,2086,-55.567,3109,3118,2849,0
1651284953.2925296,30-Apr-202204:15:50.00,55.5,2086,-55.5682,3109,3118,1192,0
1651284979.3728814,30-Apr-202204:16:16.00,55.5,2086,-55.5674,3109,3119,1112,0
1651285005.30227,30-Apr-202204:16:42.00,55.5,2086,-55.5665,3109,3119,1198,0
1651285031.259686,30-Apr-202204:17:08.00,55.5,2086,-55.5668,3109,3118,2167,0
1651285057.381836,30-Apr-202204:17:34.00,55.5,2086,-55.5676,3109,3118,1387,0
1651285083.3143308,30-Apr-202204:18:00.00,55.5,2086,-55.5674,3108,3119,1361,0
1651285109.271439,30-Apr-202204:18:26.00,55.5,2086,-55.567,3108,3118,1588,0
1651285135.3527267,30-Apr-202204:18:52.00,55.5,2086,-55.5673,3109,3118,3004,0
1651285161.2781105,30-Apr-202204:19:18.00,55.5,2086,-55.5675,3109,3118,2900,0
1651285187.2670443,30-Apr-202204:19:44.00,55.5,2086,-55.5658,3108,3117,2507,0
1651285213.3555725,30-Apr-202204:20:10.00,55.5,2086,-55.5668,3109,3119,2957,0
1651285239.2851248,30-Apr-202204:20:36.00,55.5,2086,-55.5667,3109,3118,3072,0
1651285265.2483485,30-Apr-202204:21:02.00,55.5,2086,-55.5679,3109,3118,2633,0
1651285291.3628285,30-Apr-202204:21:28.00,55.5,2086,-55.568,3109,3118,3232,0
1651285317.297272,30-Apr-202204:21:54.00,55.5,2086,-55.5669,3109,3118,2244,0
1651285343.2475646,30-Apr-202204:22:20.00,55.5,2086,-55.5672,3109,3118,1083,0
1651285369.3415651,30-Apr-202204:22:46.00,55.5,2086,-55.5665,3109,3118,2782,0
1651285395.2660801,30-Apr-202204:23:12.00,55.5,2086,-55.5659,3109,3118,3131,0
1651285421.234763,30-Apr-202204:23:38.00,55.5,2086,-55.5667,3109,3118,1081,0
1651285447.194284,30-Apr-202204:24:04.00,55.5,2086,-55.5666,3109,3118,1071,0
1651285473.2663844,30-Apr-202204:24:30.00,55.5,2086,-55.5667,3109,3118,1073,0
1651285499.228704,30-Apr-202204:24:56.00,55.5,2086,-55.5678,3108,3118,3197,0
1651285525.1915154,30-Apr-202204:25:22.00,55.5,2086,-55.5668,3108,3118,1764,0
1651285551.2804613,30-Apr-202204:25:48.00,55.5,2086,-55.5672,3109,3118,3112,0
1651285577.207326,30-Apr-202204:26:14.00,55.5,2086,-55.5659,3109,3118,2868,0
1651285603.171194,30-Apr-202204:26:40.00,55.5,2086,-55.5668,3109,3118,2153,0
1651285629.2874227,30-Apr-202204:27:06.00,55.5,2086,-55.5657,3108,3118,3221,0
1651285655.2132561,30-Apr-202204:27:32.00,55.5,2086,-55.5661,3108,3118,2094,0
